"Number of Workers Covered by CBAs in Establishments Employing 20 or More Workers by Type of Ownership and Sex, Philippines: June 2014 to June 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/6001B3GU072.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Type of Ownership";"Sex";"2014";"2016"
"Filipino";"Both Sexes";271889;237129
"Filipino";"..Male";181682;149407
"Filipino";"..Female";90206;87722
"Foreign";"Both Sexes";33912;25908
"Foreign";"..Male";18375;16414
"Foreign";"..Female";15537;9494
"Joint Venture";"Both Sexes";27989;24771
"Joint Venture";"..Male";16911;16108
"Joint Venture";"..Female";11078;8663
"Multinational";"Both Sexes";25956;25459
"Multinational";"..Male";19337;17638
"Multinational";"..Female";6619;7821
